quarter,asset_liability_ratio
1996K1,2.4636463655911927
1996K2,2.5344138964784455
1996K3,2.614710686531703
1996K4,2.6957869726133974
1997K1,2.9202547662069476
1997K2,3.0036080030828307
1997K3,3.0723652771702894
1997K4,3.023569547033794
1998K1,3.189724952146881
1998K2,3.254162280607532
1998K3,3.064259502062696
1998K4,3.189978523481581
1999K1,3.2621068499450674
1999K2,3.339377119273908
1999K3,3.3643176779823474
1999K4,3.6221326856636193
2000K1,3.5179112140426616
2000K2,3.566494226370124
2000K3,3.4874443020094663
2000K4,3.3289559912190674
2001K1,2.9305980788187473
2001K2,2.983221674037471
2001K3,2.7609247355230497
2001K4,2.8431067733348976
2002K1,2.840617303814771
2002K2,2.735177952652987
2002K3,2.662748745249587
2002K4,2.739285503460186
2003K1,2.8067493314748355
2003K2,2.929958675605179
2003K3,2.898597474723749
2003K4,2.8787150345483354
2004K1,2.933880406013496
2004K2,2.8635698463357775
2004K3,2.8101840857060645
2004K4,2.79712715616999
2005K1,2.887380441680234
2005K2,2.9914360685960606
2005K3,3.064155482953611
2005K4,3.05809686792352
2006K1,3.2102317897888595
2006K2,3.0127061951719742
2006K3,3.0928433456937117
2006K4,3.126085614527908
2007K1,3.2660281228791876
2007K2,3.276091850599794
2007K3,3.2178983630287408
2007K4,2.9764860529767083
2008K1,2.9492772742322657
2008K2,2.8334327753654915
2008K3,2.766341387056578
2008K4,2.685755004446777
2009K1,2.6900184090877715
2009K2,2.7643083115359444
2009K3,2.8457642103878364
2009K4,2.834189504379765
2010K1,2.9336842061944224
2010K2,2.864485027801867
2010K3,2.9096547538133475
2010K4,2.9452063692279005
2011K1,2.9435664533839687
2011K2,2.8685243047928655
2011K3,2.6827430460040493
2011K4,2.7198299301424793
2012K1,2.8383812870304967
2012K2,2.795574008211101
2012K3,2.8125630205637613
2012K4,2.7714688146058832
2013K1,2.8901762933641177
2013K2,2.884286994534546
2013K3,2.9388428820343804
2013K4,2.9650438228978095
2014K1,3.033527852309468
2014K2,3.1284499148858207
2014K3,3.166118317035705
2014K4,3.2193402013630994
2015K1,3.4020842008295396
2015K2,3.325273015809702
2015K3,3.251240308424671
2015K4,3.2773136552729176
2016K1,3.2269711008150486
2016K2,3.180436539121679
2016K3,3.283217349127657
2016K4,3.3107977680591163
2017K1,3.401570551615501
2017K2,3.373151565115637
2017K3,3.360140765268955
2017K4,3.2872447294792564
2018K1,3.279328581206837
2018K2,3.321666742128231
2018K3,3.371861309265591
2018K4,3.1435644205910713
2019K1,3.310444692689134
2019K2,3.368592568060409
2019K3,3.400009492467222
2019K4,3.4813667982577172
2020K1,3.2682814101204185
2020K2,3.410811669557592
2020K3,3.543624219587472
2020K4,3.6114277662007614
2021K1,3.7543488000142005
2021K2,3.816891084899764
2021K3,3.7854443088617646
2021K4,3.912825728049559
2022K1,3.7263678426224756
2022K2,3.407226913498946
2022K3,3.3269113887540005
2022K4,3.3901728573593894
2023K1,3.5302515508366965
2023K2,3.5889925452499805
2023K3,3.499221757887679
2023K4,3.5946885199751755
2024K1,3.8214588989596376
2024K2,3.8968793486576083
2024K3,3.9509679324314546
2024K4,3.9393088658185893
2025K1,3.875569413906347
2025K2,3.9852301437023607
2025K3,4.026287996914202
2025K4,4.070435151347668
2026K1,4.091895640363725
