sector,quarter,income_growth,saving_rate,debt_income,interest_burden
Households,1980K1,NA,5.8,101.7,10.6
Households,1980K2,NA,13.5,97.1,10
Households,1980K3,NA,9.8,94.8,10.7
Households,1980K4,NA,-3.2,93,11.5
Households,1981K1,NA,3.2,94,12.6
Households,1981K2,NA,7.1,95.1,11.9
Households,1981K3,NA,4.6,96.7,13.1
Households,1981K4,NA,-6,97.2,13.3
Households,1982K1,-1.4,0.2,98.1,12
Households,1982K2,-0.9,5.4,98.7,11.3
Households,1982K3,-1.9,2.1,99.9,12.6
Households,1982K4,-3.1,-11.2,101.1,12.9
Households,1983K1,-2.5,0.5,101.6,11.2
Households,1983K2,3.8,11.6,99.9,9.9
Households,1983K3,-3,1.1,100.2,11.8
Households,1983K4,-2.1,-10.9,100.4,12
Households,1984K1,1.1,-1.2,100.9,11.6
Households,1984K2,-1.1,8.5,101.7,10.5
Households,1984K3,3.6,3.1,102,12
Households,1984K4,1.6,-10,102.7,12.5
Households,1985K1,1.8,-2.1,102.4,12.4
Households,1985K2,3,8.6,101.7,11.2
Households,1985K3,3.1,4.2,101.2,12.8
Households,1985K4,2.6,-9.6,101.2,13.5
Households,1986K1,1.7,-3.1,104.3,12.5
Households,1986K2,2.6,6.7,106.9,11.2
Households,1986K3,5.3,2.4,108.8,12.5
Households,1986K4,3.2,-13.4,111.3,13.4
Households,1987K1,4.4,-5,112.4,12.5
Households,1987K2,5.9,5.3,112.8,11.2
Households,1987K3,0.2,-0.8,114.8,13.4
Households,1987K4,-0.3,-19,116.7,14.2
Households,1988K1,-1.2,-12.3,121.2,13.7
Households,1988K2,-1.6,2.4,125.1,12.7
Households,1988K3,0.6,-3.6,128.7,15.5
Households,1988K4,1.5,-18.8,132,16.4
Households,1989K1,3.7,-8.3,131.4,14.8
Households,1989K2,1.4,1.8,131.3,13.8
Households,1989K3,4.7,0,130.6,16
Households,1989K4,0.8,-20.1,131,17.8
Households,1990K1,-0.2,-7.3,129.9,16.7
Households,1990K2,4.5,6.6,126.6,14.8
Households,1990K3,-1.1,0,125.3,16.2
Households,1990K4,5,-9.6,122.6,16.9
Households,1991K1,6.3,-0.4,117.4,15.3
Households,1991K2,2,8.5,113.1,12.3
Households,1991K3,4.9,3.5,109.3,13.4
Households,1991K4,7.2,-5.6,105.4,14.2
Households,1992K1,2.4,2.8,103.4,13.4
Households,1992K2,0.5,9.9,102.3,11.4
Households,1992K3,3.6,7,100.7,13.5
Households,1992K4,5.3,2,98.8,13.3
Households,1993K1,-4.4,7.5,98.3,12.4
Households,1993K2,-6.2,11.2,98.2,10.9
Households,1993K3,-2.3,7.7,97,11.3
Households,1993K4,-8.5,-6.6,97.3,11.6
Households,1994K1,-1.2,3.9,97.2,10.9
Households,1994K2,-1.5,9.2,97,9.9
Households,1994K3,-1.6,4.5,96.8,10.5
Households,1994K4,3.8,-2.2,94.3,10.3
Households,1995K1,-0.4,4.9,94.6,10.1
Households,1995K2,4.3,11.7,92.8,8.9
Households,1995K3,-1.2,2.6,92.5,10
Households,1995K4,-1,-3.8,93.5,9.9
Households,1996K1,-1.3,0.6,93.7,9.5
Households,1996K2,2.5,13,93.5,7.6
Households,1996K3,0.3,1.2,93.8,8.3
Households,1996K4,-2.6,-8.9,95.2,8
Households,1997K1,-1.4,-3.9,96.5,8.1
Households,1997K2,-2.6,5.8,98.2,6.7
Households,1997K3,0.4,-0.7,98.8,7.4
