type of use,quarter,"Constant prices, reference year 2025, SEK million"
- GDP at market prices,1980K1,NA
- GDP at market prices,1980K2,NA
- GDP at market prices,1980K3,NA
- GDP at market prices,1980K4,NA
- GDP at market prices,1981K1,656344
- GDP at market prices,1981K2,683414
- GDP at market prices,1981K3,633457
- GDP at market prices,1981K4,733612
- GDP at market prices,1982K1,672896
- GDP at market prices,1982K2,697395
- GDP at market prices,1982K3,630053
- GDP at market prices,1982K4,744328
- GDP at market prices,1983K1,678695
- GDP at market prices,1983K2,701639
- GDP at market prices,1983K3,647692
- GDP at market prices,1983K4,770307
- GDP at market prices,1984K1,726877
- GDP at market prices,1984K2,734752
- GDP at market prices,1984K3,668776
- GDP at market prices,1984K4,789177
- GDP at market prices,1985K1,722989
- GDP at market prices,1985K2,753821
- GDP at market prices,1985K3,698153
- GDP at market prices,1985K4,811891
- GDP at market prices,1986K1,757386
- GDP at market prices,1986K2,780201
- GDP at market prices,1986K3,714378
- GDP at market prices,1986K4,827511
- GDP at market prices,1987K1,777342
- GDP at market prices,1987K2,803462
- GDP at market prices,1987K3,742992
- GDP at market prices,1987K4,861545
- GDP at market prices,1988K1,812238
- GDP at market prices,1988K2,827148
- GDP at market prices,1988K3,750957
- GDP at market prices,1988K4,876041
- GDP at market prices,1989K1,825551
- GDP at market prices,1989K2,852288
- GDP at market prices,1989K3,774967
- GDP at market prices,1989K4,897290
- GDP at market prices,1990K1,835747
- GDP at market prices,1990K2,860356
- GDP at market prices,1990K3,774755
- GDP at market prices,1990K4,895100
- GDP at market prices,1991K1,830003
- GDP at market prices,1991K2,842348
- GDP at market prices,1991K3,771074
- GDP at market prices,1991K4,884560
- GDP at market prices,1992K1,838249
- GDP at market prices,1992K2,834697
- GDP at market prices,1992K3,773975
- GDP at market prices,1992K4,845796
- GDP at market prices,1993K1,793425
- GDP at market prices,1993K2,817047
- GDP at market prices,1993K3,751745
- GDP at market prices,1993K4,870336
- GDP at market prices,1994K1,820938
- GDP at market prices,1994K2,846166
- GDP at market prices,1994K3,774618
- GDP at market prices,1994K4,920643
- GDP at market prices,1995K1,869545
- GDP at market prices,1995K2,881478
- GDP at market prices,1995K3,801074
- GDP at market prices,1995K4,947936
- GDP at market prices,1996K1,891400
- GDP at market prices,1996K2,891161
- GDP at market prices,1996K3,818310
- GDP at market prices,1996K4,958828
- GDP at market prices,1997K1,880002
- GDP at market prices,1997K2,935613
- GDP at market prices,1997K3,851518
- GDP at market prices,1997K4,1001671
- GDP at market prices,1998K1,926112
- GDP at market prices,1998K2,962347
- GDP at market prices,1998K3,890190
- GDP at market prices,1998K4,1045926
- GDP at market prices,1999K1,962511
- GDP at market prices,1999K2,1003976
- GDP at market prices,1999K3,928839
- GDP at market prices,1999K4,1089924
- GDP at market prices,2000K1,1003634
- GDP at market prices,2000K2,1060346
- GDP at market prices,2000K3,976449
- GDP at market prices,2000K4,1129383
- GDP at market prices,2001K1,1044884
- GDP at market prices,2001K2,1068858
- GDP at market prices,2001K3,982165
- GDP at market prices,2001K4,1130648
- GDP at market prices,2002K1,1053014
- GDP at market prices,2002K2,1111285
- GDP at market prices,2002K3,1008718
- GDP at market prices,2002K4,1149807
- GDP at market prices,2003K1,1078271
- GDP at market prices,2003K2,1117884
- GDP at market prices,2003K3,1030144
