economic indicator,quarter,consumption_growth
Household consumption expenditure,1981K1,NA
Household consumption expenditure,1981K2,0.7
Household consumption expenditure,1981K3,0.3
Household consumption expenditure,1981K4,0.1
Household consumption expenditure,1982K1,0.2
Household consumption expenditure,1982K2,0.3
Household consumption expenditure,1982K3,0.1
Household consumption expenditure,1982K4,0.9
Household consumption expenditure,1983K1,-4.4
Household consumption expenditure,1983K2,0.4
Household consumption expenditure,1983K3,1.3
Household consumption expenditure,1983K4,0.7
Household consumption expenditure,1984K1,0
Household consumption expenditure,1984K2,0.5
Household consumption expenditure,1984K3,0.6
Household consumption expenditure,1984K4,0.4
Household consumption expenditure,1985K1,1.2
Household consumption expenditure,1985K2,0.6
Household consumption expenditure,1985K3,-0.1
Household consumption expenditure,1985K4,1.1
Household consumption expenditure,1986K1,1.6
Household consumption expenditure,1986K2,1.7
Household consumption expenditure,1986K3,2.2
Household consumption expenditure,1986K4,0.9
Household consumption expenditure,1987K1,0.8
Household consumption expenditure,1987K2,3.9
Household consumption expenditure,1987K3,-1.7
Household consumption expenditure,1987K4,1.7
Household consumption expenditure,1988K1,1.6
Household consumption expenditure,1988K2,-0.4
Household consumption expenditure,1988K3,0.6
Household consumption expenditure,1988K4,-0.5
Household consumption expenditure,1989K1,0.8
Household consumption expenditure,1989K2,0.3
Household consumption expenditure,1989K3,-0.1
Household consumption expenditure,1989K4,0.5
Household consumption expenditure,1990K1,-0.8
Household consumption expenditure,1990K2,0.3
Household consumption expenditure,1990K3,-0.9
Household consumption expenditure,1990K4,-2.6
Household consumption expenditure,1991K1,2.9
Household consumption expenditure,1991K2,-0.2
Household consumption expenditure,1991K3,-0.3
Household consumption expenditure,1991K4,0
Household consumption expenditure,1992K1,-0.3
Household consumption expenditure,1992K2,-0.5
Household consumption expenditure,1992K3,-1
Household consumption expenditure,1992K4,-1.5
Household consumption expenditure,1993K1,NA
Household consumption expenditure,1993K2,1.1
Household consumption expenditure,1993K3,0.4
Household consumption expenditure,1993K4,0.2
Household consumption expenditure,1994K1,1.3
Household consumption expenditure,1994K2,-0.3
Household consumption expenditure,1994K3,0
Household consumption expenditure,1994K4,0.3
Household consumption expenditure,1995K1,0.3
Household consumption expenditure,1995K2,1.2
Household consumption expenditure,1995K3,-0.3
Household consumption expenditure,1995K4,-0.3
Household consumption expenditure,1996K1,1.3
Household consumption expenditure,1996K2,0.6
Household consumption expenditure,1996K3,1.4
Household consumption expenditure,1996K4,-0.4
Household consumption expenditure,1997K1,1.7
Household consumption expenditure,1997K2,1.3
Household consumption expenditure,1997K3,-0.3
Household consumption expenditure,1997K4,0.8
Household consumption expenditure,1998K1,0.6
Household consumption expenditure,1998K2,1.6
Household consumption expenditure,1998K3,0.8
Household consumption expenditure,1998K4,1
Household consumption expenditure,1999K1,0.8
Household consumption expenditure,1999K2,0.7
Household consumption expenditure,1999K3,1
Household consumption expenditure,1999K4,3.4
Household consumption expenditure,2000K1,1.8
Household consumption expenditure,2000K2,1.2
Household consumption expenditure,2000K3,0.5
Household consumption expenditure,2000K4,0
Household consumption expenditure,2001K1,0.3
Household consumption expenditure,2001K2,-0.1
Household consumption expenditure,2001K3,0.3
Household consumption expenditure,2001K4,-0.3
Household consumption expenditure,2002K1,2
Household consumption expenditure,2002K2,0.1
Household consumption expenditure,2002K3,0.1
Household consumption expenditure,2002K4,0.4
Household consumption expenditure,2003K1,0.2
Household consumption expenditure,2003K2,0.5
Household consumption expenditure,2003K3,0.9
Household consumption expenditure,2003K4,0.7
Household consumption expenditure,2004K1,1.4
Household consumption expenditure,2004K2,-0.5
Household consumption expenditure,2004K3,0.9
Household consumption expenditure,2004K4,0.6
Household consumption expenditure,2005K1,1
Household consumption expenditure,2005K2,0.6
Household consumption expenditure,2005K3,1.8
Household consumption expenditure,2005K4,0
Household consumption expenditure,2006K1,0.3
Household consumption expenditure,2006K2,1.3
Household consumption expenditure,2006K3,0.6
Household consumption expenditure,2006K4,1.4
Household consumption expenditure,2007K1,0.9
Household consumption expenditure,2007K2,1
Household consumption expenditure,2007K3,1.9
Household consumption expenditure,2007K4,0.6
Household consumption expenditure,2008K1,-0.7
Household consumption expenditure,2008K2,-0.3
Household consumption expenditure,2008K3,-1
Household consumption expenditure,2008K4,-1
Household consumption expenditure,2009K1,1.1
Household consumption expenditure,2009K2,1.3
Household consumption expenditure,2009K3,0.5
Household consumption expenditure,2009K4,0.2
Household consumption expenditure,2010K1,2.3
Household consumption expenditure,2010K2,0.3
Household consumption expenditure,2010K3,1.2
Household consumption expenditure,2010K4,-0.1
Household consumption expenditure,2011K1,0.8
Household consumption expenditure,2011K2,0.9
Household consumption expenditure,2011K3,-0.5
Household consumption expenditure,2011K4,-0.2
Household consumption expenditure,2012K1,0.9
Household consumption expenditure,2012K2,0.2
Household consumption expenditure,2012K3,0.7
Household consumption expenditure,2012K4,0.1
Household consumption expenditure,2013K1,0.4
Household consumption expenditure,2013K2,0.3
Household consumption expenditure,2013K3,1.1
Household consumption expenditure,2013K4,0.4
Household consumption expenditure,2014K1,0.5
Household consumption expenditure,2014K2,1.3
Household consumption expenditure,2014K3,0.3
Household consumption expenditure,2014K4,1.3
Household consumption expenditure,2015K1,1.2
Household consumption expenditure,2015K2,0.9
Household consumption expenditure,2015K3,0.8
Household consumption expenditure,2015K4,1
Household consumption expenditure,2016K1,0
Household consumption expenditure,2016K2,0.1
Household consumption expenditure,2016K3,0.9
Household consumption expenditure,2016K4,0.8
Household consumption expenditure,2017K1,1.5
Household consumption expenditure,2017K2,-0.5
Household consumption expenditure,2017K3,0.3
Household consumption expenditure,2017K4,0.9
Household consumption expenditure,2018K1,0.7
Household consumption expenditure,2018K2,0.8
Household consumption expenditure,2018K3,-0.5
Household consumption expenditure,2018K4,0.7
Household consumption expenditure,2019K1,-0.6
Household consumption expenditure,2019K2,0.5
Household consumption expenditure,2019K3,1.2
Household consumption expenditure,2019K4,0.1
Household consumption expenditure,2020K1,0.8
Household consumption expenditure,2020K2,-9.8
Household consumption expenditure,2020K3,6.3
Household consumption expenditure,2020K4,-0.3
Household consumption expenditure,2021K1,2.1
Household consumption expenditure,2021K2,1.3
Household consumption expenditure,2021K3,3.9
Household consumption expenditure,2021K4,0.9
Household consumption expenditure,2022K1,-0.4
Household consumption expenditure,2022K2,1.5
Household consumption expenditure,2022K3,-1.3
Household consumption expenditure,2022K4,-0.7
Household consumption expenditure,2023K1,-1.3
Household consumption expenditure,2023K2,0.4
Household consumption expenditure,2023K3,0
Household consumption expenditure,2023K4,0.9
Household consumption expenditure,2024K1,0.2
Household consumption expenditure,2024K2,0
Household consumption expenditure,2024K3,0.5
Household consumption expenditure,2024K4,0.8
Household consumption expenditure,2025K1,0.4
Household consumption expenditure,2025K2,0.2
Household consumption expenditure,2025K3,1
Household consumption expenditure,2025K4,0.6
Household consumption expenditure,2026K1,0.6
