month,"CPI, Fixed Index numbers","CPI, Shadow Index numbers",Annual changes,Monthly changes,Year-to-month-index
1980M01,95.3,95.3,12.7,3.3,NA
1980M02,96.8,96.75,13.5,1.5,NA
1980M03,97.2,97.24,13.5,0.5,NA
1980M04,97.9,97.9,13.6,0.7,NA
1980M05,98.2,98.21,13.3,0.3,NA
1980M06,98.5,98.47,13.1,0.3,NA
1980M07,99.3,99.3,13.2,0.8,NA
1980M08,99.9,99.86,12.3,0.6,NA
1980M09,102.7,102.7,15,2.8,NA
1980M10,104.2,104.16,15.5,1.4,NA
1980M11,104.8,104.8,14.6,0.6,NA
1980M12,105.2,105.25,14.1,0.4,NA
1981M01,107.2,107.21,12.5,1.9,NA
1981M02,109.3,109.25,12.9,1.9,NA
1981M03,109.8,109.84,13,0.5,NA
1981M04,110.5,110.5,12.9,0.6,NA
1981M05,111.2,111.17,13.2,0.6,NA
1981M06,111.6,111.58,13.3,0.4,NA
1981M07,112.6,112.6,13.4,0.9,NA
1981M08,113.5,113.45,13.6,0.8,NA
1981M09,114.3,114.27,11.3,0.7,NA
1981M10,115,115.01,10.4,0.6,NA
1981M11,115.4,115.44,10.2,0.4,NA
1981M12,114.9,114.86,9.1,-0.5,NA
1982M01,117.4,117.38,9.5,2.2,NA
1982M02,119,119.04,9,1.4,NA
1982M03,119.3,119.34,8.6,0.3,NA
1982M04,120.1,120.14,8.7,0.7,NA
1982M05,120.7,120.65,8.5,0.4,NA
1982M06,121.1,121.06,8.5,0.3,NA
1982M07,121.9,121.9,8.3,0.7,NA
1982M08,122.2,122.22,7.7,0.3,NA
1982M09,122.9,122.88,7.5,0.5,NA
1982M10,124.6,124.59,8.3,1.4,NA
1982M11,125.6,125.58,8.8,0.8,NA
1982M12,125.9,125.94,9.6,0.3,NA
1983M01,129.1,128.72,9.7,2.2,NA
1983M02,128.8,128.77,8.2,0,NA
1983M03,129.3,129.25,8.3,0.4,NA
1983M04,130.3,130.27,8.4,0.8,NA
1983M05,131.1,131.09,8.7,0.6,NA
1983M06,131.8,131.8,8.9,0.5,NA
1983M07,132.9,132.85,9,0.8,NA
1983M08,133.5,133.53,9.3,0.5,NA
1983M09,134.5,134.5,9.5,0.7,NA
1983M10,135.6,135.6,8.8,0.8,NA
1983M11,136.4,136.42,8.6,0.6,NA
1983M12,137.5,137.53,9.2,0.8,NA
1984M01,139.4,139.43,8.3,1.4,NA
1984M02,138.9,138.86,7.8,-0.4,NA
1984M03,140.9,140.86,9,1.4,NA
1984M04,141.8,141.77,8.8,0.6,NA
1984M05,142.8,142.77,8.9,0.7,NA
1984M06,142.4,142.43,8.1,-0.2,NA
1984M07,142.8,142.8,7.5,0.3,NA
1984M08,143.9,143.87,7.7,0.7,NA
1984M09,144.8,144.8,7.7,0.6,NA
1984M10,145.5,145.51,7.3,0.5,NA
1984M11,146.4,146.41,7.3,0.6,NA
1984M12,148.8,148.75,8.2,1.6,NA
1985M01,149.6,149.63,7.3,0.6,NA
1985M02,151,150.95,8.7,0.9,NA
1985M03,152.1,152.11,8,0.8,NA
1985M04,152.7,152.72,7.7,0.4,NA
1985M05,154.5,154.45,8.2,1.1,NA
1985M06,153.9,153.94,8.1,-0.3,NA
1985M07,153.8,153.84,7.7,-0.1,NA
1985M08,153.8,153.78,6.9,0,NA
1985M09,154.5,154.46,6.7,0.4,NA
1985M10,155.5,155.46,6.8,0.6,NA
